 NAME III (version 8.2)                                          
 Run name:                   Taal_273070_20250107041508.174287
 Run time:                   07/01/2025 04:15:10.918 UTC
 Met data:                   NWP Flow.EC HRES Flow
 Start of release:           12/01/2020 06:57 UTC
 End of release:             12/01/2020 21:10 UTC
 Source strength:            5.333333E+08 g / s
 Release location:           120.9930E   14.0020N
 Release height:             311.000 to 15311.000m asl
 Run duration:               7day 0hr 0min
 X grid origin:                 90.00000    
 Y grid origin:                -15.00000    
 X grid size:                         281
 Y grid size:                         221
 X grid resolution:            0.2500000    
 Y grid resolution:            0.2500000    
 Number of preliminary cols:            4
 Number of field cols:                  1
 
 Fields:
                        ,                        ,                        ,                        ,                  VOLCANIC,
                        ,                        ,                        ,                        ,               AirConc Ash,
                        ,                        ,                        ,                        ,         Air Concentration,
                        ,                        ,                        ,                        ,              VOLCANIC_ASH,
                        ,                        ,                        ,                        ,                   g / m^3,
                        ,                        ,                        ,                        ,               All sources,
                        ,                        ,                        ,                        ,     No ensemble averaging,
                        ,                        ,                        ,                        ,          1hr 0min average,
                        ,                        ,                        ,                        ,   No horizontal averaging,
                        ,                        ,                        ,                        ,     No vertical averaging,
                        ,                        ,                        ,                        ,                          ,
                        ,                        ,                        ,                        ,                          ,
                        ,                        ,                        ,                        ,                          ,
                     127,                     135,                   121.5,                    18.5,               0.005840316,
                     127,                     136,                   121.5,                   18.75,               0.003839038,
                     127,                     137,                   121.5,                      19,               0.002955779,
                     127,                     138,                   121.5,                   19.25,                0.00223347,
                     127,                     139,                   121.5,                    19.5,               0.001295569,
                     127,                     140,                   121.5,                   19.75,              0.0003299572,
                     127,                     141,                   121.5,                      20,                2.2032E-05,
                     128,                     119,                  121.75,                    14.5,              6.317464E-05,
                     128,                     120,                  121.75,                   14.75,               0.007747757,
                     128,                     121,                  121.75,                      15,                0.02016301,
                     128,                     122,                  121.75,                   15.25,                0.01843465,
                     128,                     123,                  121.75,                    15.5,                0.01395341,
                     128,                     124,                  121.75,                   15.75,                0.01092109,
                     128,                     125,                  121.75,                      16,               0.009417368,
                     128,                     126,                  121.75,                   16.25,               0.005781371,
                     128,                     127,                  121.75,                    16.5,               0.005720486,
                     128,                     128,                  121.75,                   16.75,               0.004820129,
                     128,                     129,                  121.75,                      17,               0.005515778,
                     128,                     130,                  121.75,                   17.25,               0.005579574,
                     128,                     131,                  121.75,                    17.5,               0.005510016,
                     128,                     132,                  121.75,                   17.75,               0.006083125,
                     128,                     133,                  121.75,                      18,               0.006206191,
                     128,                     134,                  121.75,                   18.25,               0.006062589,
